index,init_line,text,source
0,0,"General Description 
This document provides an overview of the sections and offices in the CT-XIII building, a 
three-story facility that houses classrooms and specialized research areas dedicated to 
multiple engineering disciplines. 
Human Centered System Laboratory (HCS) 
The Human Centered System Laboratory (HCS) focuses on research in rehabilitation and 
human-assistance robotics. It is equipped with high-performance workstations, a 
dedicated device charging station, and a prototyping area that includes 3D printing ",SemanticDescription.txt
1,4,"Human Centered System Laboratory (HCS) 
The Human Centered System Laboratory (HCS) focuses on research in rehabilitation and 
human-assistance robotics. It is equipped with high-performance workstations, a 
dedicated device charging station, and a prototyping area that includes 3D printing 
capabilities for robotic components and materials for developing embedded electronic 
systems. 
The laboratory also houses a battery bank used to charge the NIRA robot and the 
SmartWalker, two key projects under development. ",SemanticDescription.txt
2,8,"capabilities for robotic components and materials for developing embedded electronic 
systems. 
The laboratory also houses a battery bank used to charge the NIRA robot and the 
SmartWalker, two key projects under development. 
The HCS is directed by Professor Anselmo Frizera Neto, and the research team includes: 
Postdoctoral Researcher: Fabian Machado. 
Master’s Students: Matheus Penido, Elio Triana, Igor Batista, and Gabriel Rodrigues. 
Undergraduate Students: Duda Mattos, Mariana Godoy, Sergio Junior, and Weslley das ",SemanticDescription.txt
3,12,"The HCS is directed by Professor Anselmo Frizera Neto, and the research team includes: 
Postdoctoral Researcher: Fabian Machado. 
Master’s Students: Matheus Penido, Elio Triana, Igor Batista, and Gabriel Rodrigues. 
Undergraduate Students: Duda Mattos, Mariana Godoy, Sergio Junior, and Weslley das 
Neves. 
Workspaces within the laboratory are organized as follows: 
Desk 1: Elio Triana. 
Desk 2: Matheus Penido. 
Desk 3: Fabian Machado. 
Desk 4: Weslley das Neves. 
Desk 5: Mariana Godoy. 
Desk 6: Gabriel Rodrigues. ",SemanticDescription.txt
4,18,"Desk 1: Elio Triana. 
Desk 2: Matheus Penido. 
Desk 3: Fabian Machado. 
Desk 4: Weslley das Neves. 
Desk 5: Mariana Godoy. 
Desk 6: Gabriel Rodrigues. 
Desk 7: Sergio Junior. 
This structured layout promotes collaboration while providing each team member with a 
dedicated workspace for their research activities. 
Main Corridor 
The Main Corridor serves as the central connection point for various facilities and offices 
within the building. It features an emergency exit at the northern end and access to rooms ",SemanticDescription.txt
5,24,"Desk 7: Sergio Junior. 
This structured layout promotes collaboration while providing each team member with a 
dedicated workspace for their research activities. 
Main Corridor 
The Main Corridor serves as the central connection point for various facilities and offices 
within the building. It features an emergency exit at the northern end and access to rooms 
numbered 1 through 7. Key infrastructure elements are strategically placed along the 
corridor, such as: 
Electric and Network Panels: Located on the northern wall, containing circuit breakers and ",SemanticDescription.txt
6,28,"The Main Corridor serves as the central connection point for various facilities and offices 
within the building. It features an emergency exit at the northern end and access to rooms 
numbered 1 through 7. Key infrastructure elements are strategically placed along the 
corridor, such as: 
Electric and Network Panels: Located on the northern wall, containing circuit breakers and 
internet/telephone cables. 
Trash Bins: Positioned to encourage cleanliness. 
Water Dispensers: Two dispensers provide easy access to drinking water or bottle refilling. ",SemanticDescription.txt
7,32,"Electric and Network Panels: Located on the northern wall, containing circuit breakers and 
internet/telephone cables. 
Trash Bins: Positioned to encourage cleanliness. 
Water Dispensers: Two dispensers provide easy access to drinking water or bottle refilling. 
Facilities accessible via the Main Corridor include: 
Room 1: Secretariat for the computing area, staffed by Thiago Oliveira dos Santos. 
Room 2: A classroom dedicated to computing and robotics students. 
Room 3: Storage area for equipment belonging to the High-Performance Computing ",SemanticDescription.txt
8,36,"Facilities accessible via the Main Corridor include: 
Room 1: Secretariat for the computing area, staffed by Thiago Oliveira dos Santos. 
Room 2: A classroom dedicated to computing and robotics students. 
Room 3: Storage area for equipment belonging to the High-Performance Computing 
Laboratory (LCAD). 
Room 4: Conference room. 
Room 5: Main workspace for LCAD researchers. 
Room 6: Human Centered System Laboratory (HCS). 
Room 7: Meeting room for LCAD. 
The Main corridor is further enhanced by a Wi-Fi access point located centrally, ensuring ",SemanticDescription.txt
9,41,"Room 4: Conference room. 
Room 5: Main workspace for LCAD researchers. 
Room 6: Human Centered System Laboratory (HCS). 
Room 7: Meeting room for LCAD. 
The Main corridor is further enhanced by a Wi-Fi access point located centrally, ensuring 
fast wireless internet for students and staff. Power outlets are distributed along the walls 
for general use. A fire alarm is installed near the main entrance for emergencies, while a 
maintenance room at the far end houses tools like hammers, screwdrivers, and other ",SemanticDescription.txt
